,count,state,lat,long,date,urban
0,1,US-AL,32.559261199999995,-86.4576441,2018-02-21,0
1,2,US-AL,32.613463,-86.544256,2018-02-04,0
2,1,US-AL,32.483969,-86.457383,2018-02-14,0
3,2,US-AL,32.483126,-86.459696,2018-02-08,0
4,2,US-AL,32.484124,-86.457491,2018-02-09,0
5,22,US-AL,32.3261184,-86.78718570000001,2018-02-09,0
6,5,US-AL,32.399432,-86.61003000000001,2018-02-15,0
7,1,US-AL,32.483988000000004,-86.457376,2018-02-06,0
8,17,US-AL,32.479307,-86.45861500000001,2018-02-12,0
9,1,US-AL,32.559261199999995,-86.4576441,2018-03-09,0
10,8,US-AL,32.3989506,-86.77989009999999,2018-03-03,0
11,1,US-AL,32.559261199999995,-86.4576441,2018-03-23,0
12,2,US-AL,32.398875,-86.792006,2018-03-03,0
13,2,US-AL,32.559261199999995,-86.4576441,2018-04-14,0
14,1,US-AL,32.581562899999994,-86.4642135,2018-04-07,0
15,1,US-AL,32.559261199999995,-86.4576441,2018-04-13,0
16,2,US-AL,32.363958000000004,-86.525231,2018-04-09,0
17,1,US-AL,30.241833500000002,-87.7371839,2018-02-18,1
18,1,US-AL,30.652041399999998,-87.9154408,2018-02-17,1
19,3,US-AL,30.427097600000003,-87.8431875,2018-02-04,0
20,1,US-AL,30.2643909,-87.6417041,2018-02-19,0
21,5,US-AL,30.577604600000004,-87.4219787,2018-02-10,0
22,2,US-AL,30.427097600000003,-87.8431875,2018-02-10,0
23,1,US-AL,30.2522418,-87.688475,2018-02-16,1
24,8,US-AL,30.2319665,-88.01550329999999,2018-02-16,0
25,2,US-AL,30.2319665,-88.01550329999999,2018-02-01,0
26,1,US-AL,30.229444899999997,-88.01804320000001,2018-02-22,0
27,8,US-AL,30.229444899999997,-88.01804320000001,2018-02-19,0
28,2,US-AL,30.665513800000003,-87.93241379999999,2018-02-06,0
29,1,US-AL,30.2643909,-87.6417041,2018-02-19,0
30,18,US-AL,30.577604600000004,-87.4219787,2018-02-19,0
31,61,US-AL,30.6248037,-87.9112803,2018-02-06,0
32,40,US-AL,30.450363399999997,-87.7423322,2018-02-04,0
33,1,US-AL,30.351966600000004,-87.7847625,2018-02-19,0
34,6,US-AL,30.4114017,-87.6940513,2018-02-14,0
35,3,US-AL,30.4114017,-87.6940513,2018-02-25,0
36,45,US-AL,30.3259402,-87.68411640000001,2018-02-07,0
37,3,US-AL,30.6035202,-87.9098186,2018-02-08,0
38,1,US-AL,30.635051,-87.913397,2018-02-13,1
39,1,US-AL,30.2360526,-87.8253571,2018-02-18,0
40,1,US-AL,30.603606,-87.908604,2018-02-17,0
41,1,US-AL,30.4114017,-87.6940513,2018-02-01,0
42,1,US-AL,30.4114017,-87.6940513,2018-02-07,0
43,1,US-AL,30.4114017,-87.6940513,2018-02-27,0
44,1,US-AL,30.275375899999997,-87.605195,2018-02-28,0
45,1,US-AL,30.9577381,-87.8719997,2018-02-27,0
46,5,US-AL,30.675021,-87.93104090000001,2018-02-07,0
47,1,US-AL,30.635051,-87.913397,2018-02-17,1
48,1,US-AL,30.635051,-87.913397,2018-02-05,1
49,2,US-AL,30.606151699999998,-87.9126513,2018-02-05,0
50,2,US-AL,30.2319665,-88.01550329999999,2018-02-01,0
51,5,US-AL,30.685775699999997,-87.8099957,2018-02-09,0
52,1,US-AL,30.229444899999997,-88.01804320000001,2018-02-20,0
53,1,US-AL,30.5219641,-87.8811407,2018-02-03,0
54,1,US-AL,30.4114017,-87.6940513,2018-02-17,0
55,1,US-AL,30.4114017,-87.6940513,2018-02-22,0
56,1,US-AL,30.4114017,-87.6940513,2018-02-24,0
57,2,US-AL,30.4114017,-87.6940513,2018-02-23,0
58,4,US-AL,30.577604600000004,-87.4219787,2018-02-19,0
59,2,US-AL,30.635051,-87.913397,2018-02-18,1
60,235,US-AL,30.487118199999998,-87.89872159999999,2018-02-01,0
61,10,US-AL,30.450363399999997,-87.7423322,2018-02-05,0
62,2,US-AL,30.2319665,-88.01550329999999,2018-02-01,0
63,1,US-AL,30.2325597,-87.9130268,2018-02-04,0
64,1,US-AL,30.2325597,-87.9130268,2018-02-02,0
65,1,US-AL,30.4114017,-87.6940513,2018-02-05,0
66,1,US-AL,30.4114017,-87.6940513,2018-02-04,0
67,50,US-AL,30.488775,-87.742947,2018-02-04,0
68,50,US-AL,30.488775,-87.742947,2018-02-04,0
69,2,US-AL,30.236014299999997,-87.8240854,2018-02-03,0
70,5,US-AL,30.5539195,-87.89414670000001,2018-02-07,0
71,1,US-AL,30.675021,-87.93104090000001,2018-02-19,0
72,1,US-AL,30.857765999999998,-87.717182,2018-02-18,0
73,2,US-AL,30.427097600000003,-87.8431875,2018-02-14,0
74,12,US-AL,30.229444899999997,-88.01804320000001,2018-02-19,0
75,1,US-AL,30.4114017,-87.6940513,2018-02-12,0
